,,,,,,,
181,4.935102,61,1.746954,71,2.038941, ,
151,4.148597,11,0.35325,111,3.07025, ,
71,1.956662,1,0.08448,1,0.083213, ,
1,0.083251,181,4.732955,21,0.595752, ,
181,4.724932,1,0.083244,151,3.915462, ,
21,0.590226,11,0.433512,61,1.594422, ,
1,0.08562,1,0.081338,41,1.141903, ,
1,0.08004,1,0.088564,51,1.344701, ,
61,1.576247,1,0.0853,31,0.876843, ,
41,1.088853,1,0.093874,81,2.080762, ,
41,1.290884,21,0.632956,191,5.284657, ,
181,4.851386,21,0.602438,21,0.617848, ,
31,0.881283,11,0.36121,31,0.897523, ,
61,1.693277,41,1.207443,41,1.123925, ,
51,5.888678,11,0.362945,41,1.176714,, 

21, 0.735362, 11, 0.363931, 21, 0.650751, 
81, 2.221018, 11, 0.349223, 161, 4.302869, 
41, 1.161579, 51, 1.528758, 41, 1.146962, 
51, 1.442023, 11, 0.353858, 41, 1.158855, 
131, 3.711843, 11, 0.363329, 31, 0.943286, 
21, 0.735362, 11, 0.363931, 21, 0.650751, 
81, 2.221018, 11, 0.349223, 161, 4.302869, 
41, 1.161579, 51, 1.528758, 41, 1.146962, 
51, 1.442023, 11, 0.353858, 41, 1.158855, 
131, 3.711843, 11, 0.363329, 31, 0.943286, 
21, 0.735362, 11, 0.363931, 21, 0.650751, 
81, 2.221018, 11, 0.349223, 161, 4.302869, 
41, 1.161579, 51, 1.528758, 41, 1.146962, 
51, 1.442023, 11, 0.353858, 41, 1.158855, 
131, 3.711843, 11, 0.363329, 31, 0.943286, 
